Id,ItemName,Category,Rarity,IconPath
1,신묘한 변환석,Material,Rare,
2,정제된 신묘한 변환석,Material,Unique,
3,코스모 에센스,Material,Epic,
4,녹슨 카게토,Equipment,Common,Sprites/Icons/Icon64EquipmentWeapon
5,카게토,Equipment,Uncommon,Sprites/Icons/Icon64EquipmentWeapon
6,명도 홍천무,Equipment,Rare,Sprites/Icons/Icon64EquipmentWeapon
7,유성락,Equipment,Unique,Sprites/Icons/Icon64EquipmentWeapon
8,유물 : 레이든의 오로치,Equipment,Unique,Sprites/Icons/Icon64EquipmentWeapon
9,진 : 유성락,Equipment,Epic,Sprites/Icons/Icon64EquipmentWeapon
10,노스마이어 모험가를 위한 힘과 지능의 가죽 상의,Equipment,Rare,Sprites/Icons/Icon64EquipmentArmor
11,노스마이어 모험가를 위한 힘과 지능의 가죽 숄더,Equipment,Rare,Sprites/Icons/Icon64EquipmentShoulder
12,노스마이어 모험가를 위한 힘과 지능의 가죽 하의,Equipment,Rare,Sprites/Icons/Icon64EquipmentPants
13,노스마이어 모험가를 위한 힘과 지능의 가죽 벨트,Equipment,Rare,Sprites/Icons/Icon64EquipmentBelt
14,노스마이어 모험가를 위한 힘과 지능의 가죽 부츠,Equipment,Rare,Sprites/Icons/Icon64EquipmentShoes
15,누골의 피부 조각,Equipment,Unique,Sprites/Icons/Icon64EquipmentArmor
16,샤텐 숄더,Equipment,Unique,Sprites/Icons/Icon64EquipmentShoulder
17,개구쟁이의 호박바지,Equipment,Unique,Sprites/Icons/Icon64EquipmentPants
18,검은 광대의 눈물,Equipment,Unique,Sprites/Icons/Icon64EquipmentBelt
19,누골 인 언더그라운드,Equipment,Unique,Sprites/Icons/Icon64EquipmentShoes
20,유물 : 케레스의 스웨이드 튜닉,Equipment,Unique,Sprites/Icons/Icon64EquipmentArmor
21,유물 : 케레스의 스웨이드 맨틀,Equipment,Unique,Sprites/Icons/Icon64EquipmentShoulder
22,유물 : 케레스의 스웨이드 그리브,Equipment,Unique,Sprites/Icons/Icon64EquipmentPants
23,유물 : 케레스의 스웨이드 새쉬,Equipment,Unique,Sprites/Icons/Icon64EquipmentBelt
24,유물 : 케레스의 스웨이드 부츠,Equipment,Unique,Sprites/Icons/Icon64EquipmentShoes
25,소울이터의 화갑 상의,Equipment,Epic,Sprites/Icons/Icon64EquipmentArmor
26,소울이터의 화갑 어깨,Equipment,Epic,Sprites/Icons/Icon64EquipmentShoulder
27,소울이터의 화갑 하의,Equipment,Epic,Sprites/Icons/Icon64EquipmentPants
28,소울이터의 화갑 벨트,Equipment,Epic,Sprites/Icons/Icon64EquipmentBelt
29,소울이터의 화갑 신발,Equipment,Epic,Sprites/Icons/Icon64EquipmentShoes
30,팔로만의 진주 목걸이,Equipment,Rare,Sprites/Icons/Icon64EquipmentNecklace
31,패리스의 손목보호대,Equipment,Rare,Sprites/Icons/Icon64EquipmentBracelet
32,달빛 이슬 반지,Equipment,Rare,Sprites/Icons/Icon64EquipmentRing
33,트로피컬 플라워,Equipment,Unique,Sprites/Icons/Icon64EquipmentNecklace
34,로저의 손목시계,Equipment,Unique,Sprites/Icons/Icon64EquipmentBracelet
35,베히모스의 눈,Equipment,Unique,Sprites/Icons/Icon64EquipmentRing
36,유물 : 에페리얼의 브로치,Equipment,Unique,Sprites/Icons/Icon64EquipmentNecklace
37,유물 : 에페리얼의 암릿,Equipment,Unique,Sprites/Icons/Icon64EquipmentBracelet
38,유물 : 에페리얼의 반지,Equipment,Unique,Sprites/Icons/Icon64EquipmentRing
39,헤매는 자의 아스톨라베 목걸이,Equipment,Epic,Sprites/Icons/Icon64EquipmentNecklace
40,헤매는 자의 측량 팔찌,Equipment,Epic,Sprites/Icons/Icon64EquipmentBracelet
41,헤매는 자의 나침반 반지,Equipment,Epic,Sprites/Icons/Icon64EquipmentRing
